Title,Running Time,Genre,Director,Barcode,Format,Condition
Luftslottet Som Sprängdes-The Girl who kicked the hornet's nest,148 mins,Action; Crime; Thriller,Daniel Alfredson,5060116726206,Blu-ray,
M,110 mins,Crime; Film Noir; Foreign; Thriller,Fritz Lang,5060000700657,Blu-ray,
Mad Max Trilogy,281 mins,Action; Science Fiction,,5051892138536,Blu-ray,
Magic In The Moonlight,97 mins,Comedy; Drama; Romance,Woody Allen,5051892182720,Blu-ray,
Mammuth,88 mins,Action; Adventure; Comedy,Benoît Delépine; Gustave de Kervern,5060126870852,DVD,
Man On Fire,146 mins,Action; Crime; Drama; Thriller,Tony Scott,9321337112275,Blu-ray,
Man Who Haunted Himself,94 mins,Fantasy; Horror; Thriller,Basil Dearden,5014138300326,DVD,
Man With The Movie Camera,68 mins,Documentary; Drama; Music,Dziga Vertov,5035673005026,DVD,
Manchester By The Sea,137 mins,Drama; Family,Kenneth Lonergan,5055201837127,Blu-ray,
Manufactured Landscapes,80 mins,Documentary,Jennifer Baichwal,5035673007822,DVD,
Maria Full Of Grace,101 mins,Crime; Thriller,Joshua Marston,5410504969348,DVD,
Maria Full Of Grace,101 mins,,,7321900883702,DVD,
Marnie,131 mins,Mystery; Romance; Thriller,Alfred Hitchcock,44007848722,DVD,Unopened
Marx Brothers: Collection,72 mins,Comedy,Victor Heerman,5050582860184,DVD,
Master And Commander: The Far Side Of The World,138 mins,Adventure; War,Peter Weir,9321337038841,DVD,
Messa Da Requiem,89 mins,Music,,724349269392,DVD,
Metropolis,153 mins,Action; Drama; Late Night; Romance; Silent; Thriller,Fritz Lang,5060000700015,,
Michael Clayton,119 mins,Adventure; Suspense; Thriller,Tony Gilroy,5060002835838,DVD,
Minari,115 mins,Drama,Lee Isaac Chung,9322225241107,Blu-ray,
Miss Peregrine's Home For Peculiar Children,127 mins,Adventure; Drama; Family; Fantasy; Science Fiction,Tim Burton,5039036079150,DVD,
Momentum,96 mins,Action; Thriller,Stephen S. Campanelli,5060262853931,Blu-ray,Unopened
Money Monster,99 mins,,,5050630426218,Blu-ray,
Mozart: Cosi Fan Tutte: John Eliot Gardiner,193 mins,Opera,Peter Mumford,44007302699,DVD,
Mozart: Die Zauberflote (The Magic Flute) -- Ludwigsburg/Gonnenwein [2001],,,,4006680101880,DVD,
Mozart: Don Giovanni: Wilhelm Furtwangler,,Opera,Paul Czinner; Alfred Travers,44007301999,DVD,
Mr 73,125 mins,Crime; Drama,Olivier Marchal,5055201810465,DVD,
