Title,Running Time,Genre,Director,Barcode,Format,Condition,Estimated Value (AUD),Confidence,Source,Notes,Last Checked
Kumonosu Jô -Throne of Blood,105 mins,Action; Thriller; War,Akira Kurosawa,5035673005330,DVD,,44.13,High,eBay,Brand New listings removed. Estimated using used listings. (5 listings),
L. 627,,,,5055201802613,DVD,,46.64,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
L' Homme Du Train,90 mins,Comedy; Drama,Patrice Leconte,5060002831304,DVD,,20.27,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
L'empire Des Loups,128 mins,Action; Drama; Thriller,Chris Nahon,5035822045231,DVD,,25.77,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
L'enquete Corse,92 mins,Comedy,Alain Berbérian,3607483156070,DVD,,32.24,Low,eBay,1 listing,
La Noche De Los Girasoles,123 mins,Drama; Thriller,Jorge Sanchez-Cabezudo,5060103790678,DVD,,39.3,High,eBay,Brand New listings removed. Estimated using used listings. (5 listings),
La Strada,108 mins,Drama; Foreign,Federico Fellini,5055201836700,Blu-ray,,71.9,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
Last Dragon,109 mins,Action; Adventure; Comedy,Michael Schultz,43396059856,DVD,,27.57,High,eBay,5 listings,
Late Spring,,Drama,Yasujiro Ozu,5035673010686,DVD,,54.59,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
Le Comte De Monte Cristo,400 mins,Adventure; Drama; Romance,Josée Dayan,5027035002248,DVD,,34.3,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
Le Grand Bleu,160 mins,Documentary; Romance,Luc Besson,5039036003001,DVD,,37.23,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Leon,127 mins,Drama,Luc Besson,5055201808448,DVD,,31.71,High,eBay,Brand New listings removed. Estimated using used listings. (5 listings),
Léon,106 mins,Action; Crime; Thriller,Luc Besson,5055201808455,Blu-ray,,28.51,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Les Couloirs Du Temps: Les Visiteurs 2,118 mins,Comedy; Family; Science Fiction,Jean-Marie Poiré,5027035004938,DVD,,42.01,High,eBay,Brand New listings removed. Estimated using used listings. (5 listings),
"Les Misérables -Depardieu, Malkovich",172 mins,Drama; History,Josée Dayan,3000000077030,DVD,,12.18,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Les Valseuses,114 mins,Comedy; Crime; Drama,Bertrand Blier,5028836031024,DVD,,,None,eBay,No matching listings,
Let The Sunshine In,91 mins,,,5021866848303,DVD,,30.17,Medium,eBay,3 listings,
Life And Nothing But,135 mins,Drama,Bertrand Tavernier,738329037321,DVD,,87.33,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
Life Is Beautiful,120 mins,Action; Drama; Foreign; Romance,Mark de Cloe; Jeroen Berkvens,9398710210996,DVD,,9.3,Low,eBay,Brand New listings removed. Estimated using used listings. (1 listing),
Line Of Duty: Season 1,353 mins,Action; Adventure; Crime; Drama; Thriller,Douglas Mackinnon; Daniel Nettheim,9321337152394,DVD,,8.49,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Line Of Duty: Season 2,358 mins,Crime; Drama; Thriller,Douglas Mackinnon; Daniel Nettheim,9321337152394,DVD,,8.49,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Lion,118 mins,Biography; Drama,Garth Davis,5017239152740,Blu-ray,,33.88,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Little Miss Sunshine,101 mins,Comedy; Drama,Jonathan Dayton; Valerie Faris,5694310021968,DVD,,,None,eBay,No matching listings,
Long Men Fei Jia-Flying Swords of Dragon Gate,123 mins,Action; Adventure; Martial Arts,,5060018493855,Blu-ray,Unopened,39.5,Medium,eBay,No Brand New listings found. Estimated using used listings. (4 listings),
Lore,108 mins,Drama; War,Cate Shortland,5021866065403,Blu-ray,,,None,eBay,No matching listings,
Lost In Translation,102 mins,Comedy; Family; Romance,Sofia Coppola,5060049145198,DVD,,18.29,Medium,eBay,Brand New listings removed. Estimated using used listings. (3 listings),
Love & Friendship,92 mins,Comedy; Drama; Romance,Whit Stillman,9317731127618,DVD,,7.7,Low,eBay,Brand New listings removed. Estimated using used listings. (2 listings),
Lucy,89 mins,Action; Science Fiction; Thriller,Luc Besson,5053083016159,Blu-ray,,26.63,Medium,eBay,Brand New listings removed. Estimated using used listings. (4 listings),
